Duration,Frequency,Category
5,1,Li-ion 30%
5,2,Li-ion 30%
5,3,Li-ion 30%
5,4,Li-ion 30%
5,5,Li-ion 30%
5,6,Li-ion 30%
5,7,Li-ion 30%
5,9,Li-ion 30%
5,10,Li-ion 30%
5,12,Li-ion 30%
5,15,Li-ion 30%
5,17,Li-ion 30%
5,20,Li-ion 30%
5,24,Li-ion 30%
5,29,Li-ion 30%
5,34,Li-ion 30%
5,40,Li-ion 30%
5,47,Li-ion 30%
5,56,Li-ion 30%
5,66,Li-ion 30%
5,78,Li-ion 30%
5,93,Li-ion 30%
5,109,Li-ion 30%
5,129,Li-ion 30%
5,153,Li-ion 30%
5,181,Li-ion 30%
5,214,Li-ion 30%
5,253,Li-ion 30%
5,299,Li-ion 30%
5,354,Li-ion 30%
5,418,Li-ion 30%
5,495,Li-ion 30%
5,585,Li-ion 20%
5,692,Li-ion 20%
5,818,Li-ion 20%
6,1,Li-ion 20%
6,2,Li-ion 20%
6,3,Li-ion 20%
6,4,Li-ion 20%
6,5,Li-ion 20%
6,6,Li-ion 20%
6,7,Li-ion 20%
6,9,Li-ion 20%
6,10,Li-ion 20%
6,12,Li-ion 20%
6,15,Li-ion 20%
6,17,Li-ion 20%
6,20,Li-ion 20%
6,24,Li-ion 20%
6,29,Li-ion 20%
6,34,Li-ion 20%
6,40,Li-ion 20%
6,47,Li-ion 20%
6,56,Li-ion 20%
6,66,Li-ion 20%
6,78,Li-ion 20%
6,93,Li-ion 20%
6,109,Li-ion 20%
6,129,Li-ion 20%
6,153,Li-ion 20%
6,181,Li-ion 20%
6,214,Li-ion 20%
6,253,Li-ion 20%
6,299,Li-ion 20%
6,354,Li-ion 20%
6,418,Li-ion 30%
6,495,Li-ion 20%
6,585,Li-ion 20%
6,692,Li-ion 10%
7,1,Li-ion 20%
7,2,Li-ion 20%
7,3,Li-ion 20%
7,4,Li-ion 20%
7,5,Li-ion 20%
7,6,Li-ion 20%
7,7,Li-ion 20%
7,9,Li-ion 20%
7,10,Li-ion 20%
7,12,Li-ion 20%
7,15,Li-ion 20%
7,17,Li-ion 20%
7,20,Li-ion 20%
7,24,Li-ion 20%
7,29,Li-ion 20%
7,34,Li-ion 20%
7,40,Li-ion 20%
7,47,Li-ion 20%
7,56,Li-ion 20%
7,66,Li-ion 20%
7,78,Li-ion 20%
7,93,Li-ion 20%
7,109,Li-ion 20%
7,129,Li-ion 20%
7,153,Li-ion 20%
7,181,Li-ion 20%
7,214,Li-ion 20%
7,253,Li-ion 20%
7,299,Li-ion 20%
7,354,Li-ion 20%
7,418,Li-ion 20%
7,495,Li-ion 20%
7,585,Li-ion 10%
8,1,Li-ion 10%
8,2,Li-ion 10%
8,3,Li-ion 10%
8,4,Li-ion 10%
8,5,Li-ion 10%
8,6,Li-ion 10%
8,7,Li-ion 10%
8,9,Li-ion 10%
8,10,Li-ion 10%
8,12,Li-ion 10%
8,15,Li-ion 10%
8,17,Li-ion 10%
8,20,Li-ion 10%
8,24,Li-ion 10%
8,29,Li-ion 10%
8,34,Li-ion 10%
8,40,Li-ion 10%
8,47,Li-ion 10%
8,56,Li-ion 10%
8,66,Li-ion 10%
8,78,Li-ion 10%
8,93,Li-ion 10%
8,109,Li-ion 10%
8,129,Li-ion 10%
8,153,Li-ion 10%
8,181,Li-ion 10%
8,214,Li-ion 10%
8,253,Li-ion 10%
8,299,Li-ion 10%
8,354,Li-ion 10%
8,418,Li-ion 10%
8,495,Li-ion 10%
9,1,Li-ion 5%
9,2,Li-ion 5%
9,3,Li-ion 5%
9,4,Li-ion 5%
9,5,Li-ion 5%
9,6,Li-ion 5%
9,7,Li-ion 5%
9,9,Li-ion 5%
9,10,Li-ion 5%
9,12,Li-ion 5%
9,15,Li-ion 5%
9,17,Li-ion 5%
9,20,Li-ion 5%
9,24,Li-ion 5%
9,29,Li-ion 5%
9,34,Li-ion 5%
9,40,Li-ion 5%
9,47,Li-ion 5%
9,56,Li-ion 5%
9,66,Li-ion 5%
9,78,Li-ion 5%
9,93,Li-ion 5%
9,109,Li-ion 5%
9,129,Li-ion 5%
9,153,Li-ion 5%
9,181,Li-ion 5%
9,214,Li-ion 5%
9,253,Li-ion 5%
9,299,Li-ion 5%
9,354,Li-ion 10%
9,418,Li-ion 10%
11,1,Li-ion 5%
11,2,Li-ion 5%
11,3,Li-ion 5%
11,4,Li-ion 5%
11,5,Li-ion 5%
11,6,Li-ion 5%
11,7,Li-ion 5%
11,9,Li-ion 5%
11,10,Li-ion 5%
11,12,Li-ion 5%
11,15,Li-ion 5%
11,17,Li-ion 5%
11,20,Li-ion 5%
11,24,Li-ion 5%
11,29,Li-ion 5%
11,34,Li-ion 5%
11,40,Li-ion 5%
11,47,Li-ion 5%
11,56,Li-ion 5%
11,66,Li-ion 5%
11,78,Li-ion 5%
11,93,Li-ion 5%
11,109,Li-ion 5%
11,129,Li-ion 5%
11,153,Li-ion 5%
11,181,Li-ion 5%
11,214,Li-ion 5%
11,253,Li-ion 5%
11,299,Li-ion 5%
11,354,Li-ion 5%
13,1,on par
13,2,on par
13,3,on par
13,4,on par
13,5,on par
13,6,on par
13,7,on par
13,9,on par
13,10,on par
13,12,on par
13,15,on par
13,17,on par
13,20,on par
13,24,on par
13,29,on par
13,34,on par
13,40,on par
13,47,on par
13,56,on par
13,66,on par
13,78,on par
13,93,on par
13,109,on par
13,129,on par
13,153,on par
13,181,on par
13,214,on par
13,253,on par
13,299,on par
15,1,LAES < 5%
15,2,LAES < 5%
15,3,LAES < 5%
15,4,LAES < 5%
15,5,LAES < 5%
15,6,LAES < 5%
15,7,LAES < 5%
15,9,LAES < 5%
15,10,LAES < 5%
15,12,LAES < 5%
15,15,LAES < 5%
15,17,LAES < 5%
15,20,LAES < 5%
15,24,LAES < 5%
15,29,LAES < 5%
15,34,LAES < 5%
15,40,LAES < 5%
15,47,LAES < 5%
15,56,LAES < 5%
15,66,LAES < 5%
15,78,LAES < 5%
15,93,LAES < 5%
15,109,LAES < 5%
15,129,LAES < 5%
15,153,LAES < 5%
15,181,LAES < 5%
15,214,LAES < 5%
15,253,LAES < 5%
17,1,LAES 5%
17,2,LAES 5%
17,3,LAES 5%
17,4,LAES 5%
17,5,LAES 5%
17,6,LAES 5%
17,7,LAES 5%
17,9,LAES 5%
17,10,LAES 5%
17,12,LAES 5%
17,15,LAES 5%
17,17,LAES 5%
17,20,LAES 5%
17,24,LAES 5%
17,29,LAES 5%
17,34,LAES 5%
17,40,LAES 5%
17,47,LAES 5%
17,56,LAES 5%
17,66,LAES 5%
17,78,LAES 5%
17,93,LAES 5%
17,109,LAES 5%
17,129,LAES 5%
17,153,LAES 5%
17,181,LAES 5%
17,214,LAES 5%
17,253,LAES 5%
20,1,LAES 10%
20,2,LAES 10%
20,3,LAES 10%
20,4,LAES 10%
20,5,LAES 10%
20,6,LAES 10%
20,7,LAES 10%
20,9,LAES 10%
20,10,LAES 10%
20,12,LAES 10%
20,15,LAES 10%
20,17,LAES 10%
20,20,LAES 10%
20,24,LAES 10%
20,29,LAES 10%
20,34,LAES 10%
20,40,LAES 10%
20,47,LAES 10%
20,56,LAES 10%
20,66,LAES 10%
20,78,LAES 10%
20,93,LAES 10%
20,109,LAES 10%
20,129,LAES 10%
20,153,LAES 10%
20,181,LAES 10%
20,214,LAES 10%
23,1,LAES 10%
23,2,LAES 10%
23,3,LAES 10%
23,4,LAES 10%
23,5,LAES 10%
23,6,LAES 10%
23,7,LAES 10%
23,9,LAES 10%
23,10,LAES 10%
23,12,LAES 10%
23,15,LAES 10%
23,17,LAES 10%
23,20,LAES 10%
23,24,LAES 10%
23,29,LAES 10%
23,34,LAES 10%
23,40,LAES 10%
23,47,LAES 10%
23,56,LAES 10%
23,66,LAES 10%
23,78,LAES 10%
23,93,LAES 10%
23,109,LAES 10%
23,129,LAES 10%
23,153,LAES 10%
23,181,LAES 10%
26,1,LAES 10%
26,2,LAES 10%
26,3,LAES 10%
26,4,LAES 10%
26,5,LAES 10%
26,6,LAES 10%
26,7,LAES 10%
26,9,LAES 10%
26,10,LAES 10%
26,12,LAES 10%
26,15,LAES 10%
26,17,LAES 10%
26,20,LAES 10%
26,24,LAES 10%
26,29,LAES 10%
26,34,LAES 10%
26,40,LAES 10%
26,47,LAES 10%
26,56,LAES 10%
26,66,LAES 10%
26,78,LAES 10%
26,93,LAES 10%
26,109,LAES 10%
26,129,LAES 10%
26,153,LAES 10%
31,1,LAES 5%
31,2,LAES 5%
31,3,LAES 5%
31,4,LAES 5%
31,5,LAES 5%
31,6,LAES 5%
31,7,LAES 5%
31,9,LAES 5%
31,10,LAES 5%
31,12,LAES 5%
31,15,LAES 5%
31,17,LAES 5%
31,20,LAES 5%
31,24,LAES 5%
31,29,LAES 5%
31,34,LAES 5%
31,40,LAES 5%
31,47,LAES 5%
31,56,LAES 5%
31,66,LAES 5%
31,78,LAES 5%
31,93,LAES 5%
31,109,LAES 5%
31,129,LAES 5%
36,1,LAES < 5%
